,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-1.33203125,584.740096591362,146.36355836916076,238.697188205377,35554.056438670435,188.55783314057902,56976.347657153165,584.740096591362,586.072127841362,2.4497150594344115,[5.01382479e-07 4.87275145e-01],[-1.2000007   1.24899798],11.71462299706035,227905.39062861266,3.8907639754952994,12.116625391441312,11.71462299706035,[5.01382479e-07 4.87275145e-01],[-1.2000007   1.24899798]
0,-2.0,518.8750949379788,129.72957241526728,211.80789889013514,28032.824073205637,167.43005725736833,44862.58603225371,518.8750949379788,520.8750949379788,2.449743837018654,[ 6.36645643e-07 -7.96239631e-01],[-1.20000088  0.5248112 ],10.365039605845064,179450.34412901488,3.453093136719036,9.544523884520077,10.365039605845064,[ 6.36645643e-07 -7.96239631e-01],[-1.20000088  0.5248112 ]
0,-2.0,593.985086781775,148.22560572721784,242.47169101421872,36821.69075009412,191.88978802972846,58792.52094329476,593.985086781775,595.985086781775,2.4497090126160055,[ 4.85917848e-07 -3.70952980e-02],[-1.20000068  3.99463427],11.915299043569352,235170.083773179,3.958026184414619,12.538940486895708,11.915299043569352,[ 4.85917848e-07 -3.70952980e-02],[-1.20000068  3.99463427]
0,-0.22509766,519.4970878391816,130.32681365042137,212.06280429536454,27985.554609342416,167.2888358777788,44970.63296561409,519.4970878391816,519.7221854991816,2.4497322364728213,[6.35133819e-07 6.73632281e-01],[-1.20000088 -0.22721125],10.424802214029924,179882.5318624563,3.460876786641071,9.587877722230985,10.424802214029924,[6.35133819e-07 6.73632281e-01],[-1.20000088 -0.22721125]
0,-2.0,625.3100845853974,155.81406754690815,255.26052405453808,40879.91149508496,202.18781242964414,65157.93514059741,625.3100845853974,627.3100845853974,2.4496936488769245,[ 4.38483990e-07 -8.72067795e-01],[-1.20000061  0.19500383],12.551808461553472,260631.74056238966,4.16824047726442,13.90615095341596,12.551808461553472,[ 4.38483990e-07 -8.72067795e-01],[-1.20000061  0.19500383]
0,-2.0,499.6740821799264,125.13052475265783,203.9702225706024,25946.203470625565,161.07825263090473,41603.851695501085,499.6740821799264,501.6740821799264,2.4497403389701597,[ 6.86495729e-07 -1.14449446e+00],[-1.20000095  1.59445517],10.020071613932942,166415.40678200434,3.331506381766583,8.884702170459809,10.020071613932942,[ 6.86495729e-07 -1.14449446e+00],[-1.20000095  1.59445517]
0,-2.0,473.83708299846285,117.9946430817731,193.42218179398822,23489.404613951596,153.26253493255157,37412.14040994663,473.83708299846285,475.83708299846285,2.4497556516198404,[ 7.63336060e-07 -3.57565814e-01],[-1.20000106 -0.44112136],9.511521185790587,149648.5616397865,3.158742013673305,7.987294425513825,9.511521185790587,[ 7.63336060e-07 -3.57565814e-01],[-1.20000106 -0.44112136]
0,-1.1630859,618.3070815057866,154.56281527668327,252.4006350285333,39816.41669655273,199.54051392274386,63706.08056280686,618.3070815057866,619.4701674057867,2.4497049361063947,[ 4.48469778e-07 -3.57875555e-01],[-1.20000062  0.71041373],12.37630230419749,254824.32225122745,4.123370910214036,13.60814866894765,12.37630230419749,[ 4.48469778e-07 -3.57875555e-01],[-1.20000062  0.71041373]
0,-2.0,599.658085053036,149.83306706630287,244.7877183970764,37471.07909155117,193.57447944280042,59921.027078046376,599.658085053036,601.658085053036,2.449706582420591,[ 4.76775222e-07 -7.97320660e-01],[-1.20000066  1.87785734],12.050386089362794,239684.10831218553,3.9968668008302015,12.78631954416358,12.050386089362794,[ 4.76775222e-07 -7.97320660e-01],[-1.20000066  1.87785734]
0,-1.0454102,614.9629932518641,153.89007341087537,251.03559454334243,39336.71503332481,198.33485582046544,63018.86972772941,614.9629932518641,616.0084034518641,2.449704371089447,[4.53445929e-07 2.74138921e-01],[-1.20000063  1.30582936],12.505399267899579,252075.47891091765,4.154725061163595,13.815970213234602,12.505399267899579,[4.53445929e-07 2.74138921e-01],[-1.20000063  1.30582936]
