,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-1.99993896484375,584.740096591362,145.69358047198145,238.69791939618906,35750.077333323854,189.07690851429703,56976.696724069574,584.740096591362,586.7400355562057,2.449707555350806,[ 5.01382479e-07 -6.82329998e-01],[-1.2000007   0.40667568],11.699042627282896,227906.78689627833,3.890787812351105,12.116825410631083,11.699042627282896,[ 5.01382479e-07 -6.82329998e-01],[-1.2000007   0.40667568]
0,-2.0,518.8750949379788,130.08925352123333,211.8085328247951,27939.640695680577,167.15155008458814,44862.854577392296,518.8750949379788,520.8750949379788,2.449736505031101,[ 6.36645643e-07 -7.23077112e-01],[-1.20000088  3.69319189],10.382607877209972,179451.41830956918,3.453113806757412,9.544687400158894,10.382607877209972,[ 6.36645643e-07 -7.23077112e-01],[-1.20000088  3.69319189]
0,-1.8439941,593.985086781775,148.37879803284133,242.47127672734504,36776.05233211804,191.77083285035303,58792.32003778874,593.985086781775,595.829080881775,2.4497131981933737,[4.85917848e-07 1.37477623e+00],[-1.20000068  4.79783739],11.89382386197839,235169.280151155,3.958012659067507,12.538830070947943,11.89382386197839,[4.85917848e-07 1.37477623e+00],[-1.20000068  4.79783739]
0,-1.215332,519.4970878391816,129.90740349551965,212.06169317008423,28094.228227215193,167.61332950339957,44970.161710162945,519.4970878391816,520.7124198391816,2.44974507216878,[6.35133819e-07 3.00738810e-01],[-1.20000088  0.84454595],10.385906294848034,179880.64684065178,3.4608405194830647,9.587283875830467,10.385906294848034,[6.35133819e-07 3.00738810e-01],[-1.20000088  0.84454595]
0,-1.6276855,625.3100845853974,156.26457247460874,255.25957842556576,40738.8357673253,201.8386379445851,65157.45237799756,625.3100845853974,626.9377700853973,2.4497027239576794,[ 4.38483990e-07 -6.13768592e-01],[-1.20000061  0.32256908],12.510534338855834,260629.80951199023,4.1682095942936,13.905635345277357,12.510534338855834,[ 4.38483990e-07 -6.13768592e-01],[-1.20000061  0.32256908]
0,-2.0,499.6740821799264,124.55248612219368,203.97038710465833,26090.597016404914,161.52584008883815,41603.91881562417,499.6740821799264,501.6740821799264,2.4497383628709835,[6.86495729e-07 2.45770280e-01],[-1.20000095 -0.32510389],10.000139878700452,166415.67526249663,3.3315117565362073,8.884283186151244,10.000139878700452,[6.86495729e-07 2.45770280e-01],[-1.20000095 -0.32510389]
0,-1.777587890625,473.83708299846285,118.46271420737435,193.42105882770778,23378.291340653548,152.89961197025173,37411.7059980316,473.83708299846285,475.61467088908785,2.449769874440296,[ 7.63336060e-07 -2.45666429e-01],[-1.20000106  1.07478705],9.484037332704737,149646.8239921264,3.158705335868929,7.986846385805164,9.484037332704737,[ 7.63336060e-07 -2.45666429e-01],[-1.20000106  1.07478705]
0,-1.3525391,618.3070815057866,154.41836878852973,252.40070243034853,39861.08196802297,199.65240286062917,63706.114587333344,618.3070815057866,619.6596206057866,2.4497042819300874,[ 4.48469778e-07 -5.27603649e-01],[-1.20000062  0.71700244],12.380338495350692,254824.4583493334,4.1233731124487605,13.608183873872472,12.380338495350692,[ 4.48469778e-07 -5.27603649e-01],[-1.20000062  0.71700244]
0,-2.0,599.658085053036,149.87993752795308,244.78732705773191,37456.839814685896,193.53769610772443,59920.83548806901,599.658085053036,601.658085053036,2.4497104987449347,[ 4.76775222e-07 -7.72104107e-01],[-1.20000066  4.50337878],12.030364818848673,239683.34195227607,3.996854021349321,12.786119374859048,12.030364818848673,[ 4.76775222e-07 -7.72104107e-01],[-1.20000066  4.50337878]
0,-2.0,614.9629932518641,153.69717820669354,251.03545438321407,39395.97676868664,198.48419778079725,63018.79935738676,614.9629932518641,616.9629932518641,2.4497057388280394,[4.53445929e-07 4.70866182e-01],[-1.20000063  7.51651614],12.47609147168337,252075.19742954697,4.154720421768641,13.81588920545808,12.47609147168337,[4.53445929e-07 4.70866182e-01],[-1.20000063  7.51651614]
